"","t","y"
"1161",580.55,39.0523
"1162",580.85,39.0523
"1163",581.2,39.0523
"1164",581.55,38.9502
"1165",581.85,38.9502
"1166",582.15,38.8482
"1167",582.85,38.8482
"1168",583.7,38.8482
"1169",584.65,38.5428
"1170",584.75,38.6445
"1171",585.25,38.7463
"1172",586.1,38.8482
"1173",586.15,38.8482
"1174",586.7,38.7463
"1175",586.9,38.7463
"1176",587,38.7463
"1177",587.15,38.7463
"1178",587.4,38.6445
"1179",588.6,38.6445
"1180",589.4,38.3396
"1181",589.5,38.3396
"1182",590.1,38.3396
"1183",590.75,38.3396
"1184",591,38.4411
"1185",591.6,38.1367
"1186",591.8,38.2381
"1187",592.1,38.2381
"1188",592.5,38.1367
"1189",593.25,38.3396
"1190",593.3,38.2381
"1191",593.4,38.1367
"1192",593.85,38.1367
"1193",594.2,38.2381
"1194",596.35,37.9343
"1195",597.05,38.0355
"1196",597.35,38.1367
"1197",598.35,38.6445
"1198",599.75,38.7463
"1199",600.1,38.8482
"1200",600.15,38.8482
"1201",600.2,38.9502
